name,logo_url,categories,statuses,countries,is_global,partner_url
Cypheron POS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697c65c092bd33d25e9641_cypheron-logo-656979859a463.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
DCA,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658ab15b55bff7eb0ff120_DCA-logo%20(1).webp,Online Ordering,Live,India|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Datamate/Hotsoft Purple Key,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656981d2865499ea121d22e3_Datamate%20Logo.webp,POS Systems,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
Deliveroo,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656588fb2e3a65322e454885_Deliveroo-Logo-_1_.webp,Delivery platforms,Live,United Kingdom|United Arab Emirates|Kuwait|Qatar,False,https://www.urbanpiper.com/integrations
Devourin,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697ae149c26cdb951d432d_devourin-logo-6569798634618.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Dgtera,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690ae25614fb83099a293e9f_Untitled%20design%20(49).png,POS Systems,Live,Bahrain|Egypt|Jordan|Kuwait|Oman|Qatar|Saudi Arabia|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Dididood,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a76a14a4689e5ab61b2cae_didi%20food-logo%20(1).webp,Delivery platforms,Upcoming,,False,https://www.urbanpiper.com/integrations
Digipos/Digitory,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697ab4f24ca81fd0bc0553_digipos-logo-65697986c45a8.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Digirestro/Concourse,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697abd14a6537423c43531_digirestro-logo-65697986cecdf.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Dineorder,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656987fff24ca81fd0c4d37a_Dineorder%20logo.webp,POS Systems,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
Dineplan,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/66338a6c8ef807882d428a93_Screenshot%202024-05-02%20at%206.10.26%E2%80%AFPM.webp,POS Systems,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
Dinner Daddy,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690ae0cf41cee13fc55fca97_Untitled%20design%20(45).png,POS Systems,Live,United States,False,https://www.urbanpiper.com/integrations
Dino POS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697ddcf13ef96def0e5534_dino-pos-logo-656979876b470.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Doordash,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65605d3223288923ebdf3f0b_Doordash%20logo%20(1).webp,Delivery platforms,Live,United States|Canada,False,https://www.urbanpiper.com/integrations
DotPe,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65644b1416d0ec6bd3fc7374_Dotpe_Logo%20(1).webp,Delivery platforms,Live,India,False,https://www.urbanpiper.com/integrations
Dunzo,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658ea1eccdfd30681082bd_Dunzo%20logo%20(1).webp,Fulfilment,Live,India,False,https://www.urbanpiper.com/integrations
E-retail,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697f51dfd51ffa36079e31_e-retail-logo-65697975b26e6.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
EatStreet,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/69a165be72ab9bc140979b79_5ca25ca64e2ad.webp,Delivery platforms,Live,United States,False,https://www.urbanpiper.com/integrations
El Dahan Restaurants,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690aee14ca8cf24dae25127f_Untitled%20design%20(53).png,POS Systems,Upcoming,Bahrain|Egypt|Jordan|Kuwait|Oman|Qatar|Saudi Arabia|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Enqueue,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/671a1ceea38c912c6746c7b0_Enqueue%20logo.webp,Delivery platforms,Live,Saudi Arabia,False,https://www.urbanpiper.com/integrations
Enstore,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697a7775665a89afb9997a_enstore-logo-656979747392c.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Epos Now,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/651fb1622b40db8c32ac94fa_ePOSnow.png,POS Systems,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
Eresto,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697dec7c62d0c2963c7114_eresto-logo-656979747f7ae.webp,POS Systems,Upcoming,India,False,https://www.urbanpiper.com/integrations
Flip Office,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697aa279ab2f7b647dddaa_flipoffice-logo-656979761e9ec.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Flipdish,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6565892c22740ac08bda9645_Flipdish-logo-_1_%20(1).webp,POS Systems|Online Ordering,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
Foaps,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656979c265ad93e188e26a5d_foaps-logo-6569797640e27.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Fodista,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690ae148ec147be6ab0f574c_Untitled%20design%20(46).png,POS Systems,Live,Bahrain|Egypt|Jordan|Kuwait|Oman|Qatar|Saudi Arabia|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Foodhub,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68667bae3306f58268e379dd_FOODHUB.webp,Delivery platforms,Live,United States|United Kingdom|Australia|Ireland|Canada,False,https://www.urbanpiper.com/integrations
Foodics,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/651faf036611ceb6556800ae_foodics.png,POS Systems,Live,United Arab Emirates|Saudi Arabia|Kuwait|Oman|Egypt|Jordan,False,https://www.urbanpiper.com/integrations
Foodzapp,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690da1626f395330a694be0e_Integration%20page%20icons%20(14).webp,Delivery platforms,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
ForkPOS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690ae2126d665adc913d542f_Untitled%20design%20(48).png,POS Systems,Live,Bahrain|Egypt|Jordan|Kuwait|Oman|Qatar|Saudi Arabia|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Fusion Innovative,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/662b3e9e598513c4d3f3eac5_FusionPos-Logo-updated.png,POS Systems,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
G5POS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656982ee47345f64d1a173a9_g5-pos.webp,POS Systems,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
Geidea,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698c82e1f72fe4466c2b0f_Geidea-logo.webp,POS Systems,Live,Saudi Arabia,False,https://www.urbanpiper.com/integrations
Gintaa,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/666438f3cf10e4a23886da9e_Gintaa.webp,Delivery platforms,Live,India,False,https://www.urbanpiper.com/integrations
Glovo,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a768a236f4ece5373e0383_Glovo_logo.svg%20(1).webp,Delivery platforms,Live,Kenya,False,https://www.urbanpiper.com/integrations
GoFrugal,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6566e5c439927ba4ea56bba6_Gofrugal-logo-100.png,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Grafterr/ePOS Hybrid,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/651fb13b9e2ae9f5c574a31e_Grafterr.png,POS Systems,Live,United Kingdom|India,False,https://www.urbanpiper.com/integrations
Grubhub,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/686cb98326e6df8dace2e8af_grubhub-logo.webp,Delivery platforms,Live,United States,False,https://www.urbanpiper.com/integrations
HungerStation,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658985e3e50a245e83de82_hungerstation-logo-_1_.webp,Delivery platforms,Live,Saudi Arabia,False,https://www.urbanpiper.com/integrations
Hungerbox-POS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697f3c243432e229d3fcf3_hungerbox-logo-6569797775be5.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
HungryPanda,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658911d72181129b64f455_HungryPanda-logo-_1_.webp,Delivery platforms,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
I-Dine/Innosolv,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6566de0b5c3a14c07b796d8c_I-Dine%20Logo-100.png,POS Systems,Live,India|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Instashop,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6662b3b020db50d63b642f99_Instashop-logo.webp,,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
Isthara,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/662b40b46c6cfbca69649808_ishtara%20(1).svg,Delivery platforms,Live,India,False,https://www.urbanpiper.com/integrations
JPOS/Sanguine,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697b2179ab2f7b647e1acf_sanguine-jpos-logo-6569797e5c2a6.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Jahez,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656589b25b55bff7eb0f3fe4_Jahez-logo%20(1).webp,Delivery platforms,Live,Saudi Arabia|Kuwait,False,https://www.urbanpiper.com/integrations
Just Eat,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/655df765463edaf5ae7ca491_Just-Eat-Logo.png,Delivery platforms,Live,United Kingdom|Ireland,False,https://www.urbanpiper.com/integrations
Keeta,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/671a19ce0c9699b437d871d7_Keeta%20logo.webp,Delivery platforms,Live,Saudi Arabia|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Kuber POS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690ae2f7d92ceadd36813e34_Untitled%20design%20(47).png,POS Systems,Live,United States|Canada,False,https://www.urbanpiper.com/integrations
Kurve,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698814dcd4aaffb405b0a7_Kurve_logo_logo.webp,POS Systems,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
LS Retail,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6569809c07cc429c9bb400e4_ls-retail.webp,POS Systems,Live,India|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Lightspeed,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656989cd865499ea12227f5f_Lightspeed_logo.webp,POS Systems,Live,United Kingdom|United States,False,https://www.urbanpiper.com/integrations
LingaPOS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698853c89b69f8cf6cbc35_Linga_Logo.webp,POS Systems,Upcoming,,False,https://www.urbanpiper.com/integrations
Loyverse,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656988316e8be82630c8d2c9_Loyverse_logo_logo.webp,POS Systems,Upcoming,,False,https://www.urbanpiper.com/integrations
Lucid,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697a3d243432e229d11f1d_lucid-logo-6569797800b45.webp,POS Systems,Live,India|United Kingdom,False,https://www.urbanpiper.com/integrations
Masalabox,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65644b8fb0669b030c71d7e8_Masala%20Box-logo%20(1).webp,Online Ordering,Live,India,False,https://www.urbanpiper.com/integrations
Menew,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656979d0f24ca81fd0bb2ad5_menew-logo-656979787bfdd.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Micros Oracle Symphony Gen 1,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698884e1f72fe446699406_OracleMicros.webp,POS Systems,Live,,False,https://www.urbanpiper.com/integrations
Micros Oracle Symphony Gen 2,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656829963887a9d47c192c45_OracleMicros-100.png,POS Systems,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
Micros Oracle Symphony RES 3700,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698884e1f72fe446699406_OracleMicros.webp,POS Systems,Live,,False,https://www.urbanpiper.com/integrations
Mr Mandoob,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690d9b76a8d771d4ba0c1172_Integration%20page%20icons%20(11).webp,Delivery platforms,Live,Saudi Arabia,False,https://www.urbanpiper.com/integrations
Mrsool,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/66c46f336f9796a8b95d1fdb_Screenshot%202024-08-20%20155429.webp,Delivery platforms,Live,Saudi Arabia,False,https://www.urbanpiper.com/integrations
MyGenie,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68ac17f14c72f4d70458f154_Integration%20page%20icons%20(7).png,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
MyOrderBox,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6672bf1e1bfe20ba128ef0b7_MOB-logo.webp,POS Systems,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
Mymenu,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697e29cfa1d94906ba23f3_mymenu-logo-656979792a081.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
NCR BSL,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a67cc959bff733a97159c6_NCR-Voyix-Fintech-Finance-News.webp,POS Systems,Live,Saudi Arabia|United Arab Emirates,False,https://www.urbanpiper.com/integrations
NOQ,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698822866875695e098ff3_NOQ-logo.webp,POS Systems,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
Nash,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a67ae8ad1c0c20ddb2dc6b_usenash_logo.webp,Fulfilment,Live,United Kingdom|United States,False,https://www.urbanpiper.com/integrations
Ninja,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/671a1b654a4132e6c45ccb31_Ninja%20logo.webp,Delivery platforms,Live,Saudi Arabia,False,https://www.urbanpiper.com/integrations
Ninjacart,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/66643831bfd0614f0010c461_cropped-Group-207-1.webp,Delivery platforms,Upcoming,India,False,https://www.urbanpiper.com/integrations
Noonfood,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658a2e0dc3cffa145e34ec_Noon%20foods%20Logo%20(2).webp,Delivery platforms,Live,United Arab Emirates|Saudi Arabia|Kuwait,False,https://www.urbanpiper.com/integrations
Nuba Soft,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656983c0aaa385bd5af6cba4_NUBA%20Logo.webp,POS Systems,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
OMAK POS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68ec8ad23a1c1bb431507534_OMAK%20POS.png,POS Systems,Live,United Arab Emirates|Qatar,False,https://www.urbanpiper.com/integrations
OMEGA POS Technology,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698b57d6018f8bee07a86a_Omega-logo.webp,POS Systems,Live,United Arab Emirates|Kuwait,False,https://www.urbanpiper.com/integrations
Ocim,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656985728a65a2c6c4fb4a63_OCIM%20LOGO.webp,POS Systems,Upcoming,United Arab Emirates,False,https://www.urbanpiper.com/integrations
Odoo,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/651faed4cfa1bf188297fcac_odoo.png,POS Systems,Live,Global,True,https://www.urbanpiper.com/integrations
Ordable,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/66347557a7732b4667d5ec8e_ordable-foodics-marketplace-logo.webp,Online Ordering,Live,United Arab Emirates|Kuwait,False,https://www.urbanpiper.com/integrations
OrderSune,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690aed7b4708a653ed098ddc_Untitled%20design%20(55).png,POS Systems,Upcoming,Bahrain|Egypt|Jordan|Kuwait|Oman,False,https://www.urbanpiper.com/integrations
Orderable,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/671a1d9980c059ebb28f3855_Orderable%20logo.webp,Delivery platforms,Live,Saudi Arabia,False,https://www.urbanpiper.com/integrations
PAR Brink,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a8e45eb9947f3a1ea403df_PAR_BIG-74be83d4%20(1).webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Phenix POS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/685b90b9dd6c431b892273de_Phenix%20POS%20logo.webp,POS Systems,Live,Bahrain|Egypt|Jordan|Kuwait|Oman,False,https://www.urbanpiper.com/integrations
Phylo POS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697baea8418071be599236_phylopay-logo-6569797b66c8c.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Polaris Technology,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65dc613f257517ba67d6a6ff_polaris-logo.jpg,POS Systems,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
PosBytz,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/67cfea40457d16ac3c177e76_posbytz-logo.png,POS Systems,Live,Saudi Arabia|Bahrain|Qatar|United Arab Emirates|Kuwait,False,https://www.urbanpiper.com/integrations
Posify,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65aa16d79962ee2c0693af4b_posify-logo-v4.webp,POS Systems,Live,India|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Positeasy,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6664425f532fbc42e52932c4_PosItEasy%20Logo.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Postmates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658b734ecc4dede769ea0d_Postmates%20logo%20(1).webp,Delivery platforms,Live,United States,False,https://www.urbanpiper.com/integrations
Prologic,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698b048d994c80152c795f_Prologic%20first%20logo.webp,POS Systems,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
QPos,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697a66c89b69f8cf63568c_qpos-logo-1-6569797c08a25.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
QRKey Pos,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697af16a1ea6c7b7d40079_qrkey-logo-6569797c99b0a.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Queuebuster,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697b77f04def588c8b7226_queubuster-logo-6569797d1839a.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Radyes,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658a5e7307f8a2334bb8c2_Radyes-logo%20(1).webp,Online Ordering,Live,United Arab Emirates|United Kingdom|India,False,https://www.urbanpiper.com/integrations
Rafeeq,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/662b404aac3a1e453c7c30fc_t0bkxepynwu41jwpob8r.svg,Delivery platforms,Live,Qatar,False,https://www.urbanpiper.com/integrations
Rancelab,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656988d65a35f03f3dfa9162_rancelab-logo.webp,POS Systems,Live,India|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Rappi,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658ec830f4f04b81eb99e2_Rappi_logo%20(3)%20(1).webp,Fulfilment,Upcoming,,False,https://www.urbanpiper.com/integrations
Rappi Cargo,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a76affc1d43864240d1003_Rappi%20Cargo%20logo%20(1).webp,Fulfilment,Live,Colombia|Chile|Mexico,False,https://www.urbanpiper.com/integrations
Rawnest,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/662b3f9b2ebf769459aa7871_rawnest-logo.png,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
RestoSuite,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6672c01bfdaaeedca9661074_Resto%20suite%20logo.webp,POS Systems,Live,United States,False,https://www.urbanpiper.com/integrations
Revel,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698d69865499ea1224eea0_revel%20systems-logo.webp,POS Systems,Live,United Kingdom|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Romio Technologies,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68b7cec9972b2872c69e488d_Integration%20page%20icons%20(9).png,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Royal POS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697b2f865499ea1218c8a6_royalpos-logo-6569797dba2b6.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
SAAG Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656989fd43fe259d23b7620f_saag%20systems.webp,POS Systems,Live,,False,https://www.urbanpiper.com/integrations
Sahlhub,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656983e84f251f6c539c9969_SAHL%20Logo.webp,POS Systems,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
SambaPOS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698cb1aaa385bd5afcfdd9_sambapos_logo.webp,POS Systems,Upcoming,,False,https://www.urbanpiper.com/integrations
