name,slug,url,logo_url,countries,categories,tags,description,developer_name,developer_email,developer_url,developer_phone,avg_rating,total_ratings,pricing
Gameball,3532,https://apps.zid.sa/en/application/3532,https://media.zid.store/apps/3f4f912c-8d52-49e8-8c03-b35b55f35d7a.jpg,Saudi Arabia,Marketing,Free; Trial; Featured; Embedded,"Gameball is your ultimate tool to build customer loyalty, boost engagement, and drive repeat purchases. Fully customizable and powered by advanced gamification, it transforms your store into a dynamic rewards platform that keeps customers coming back for more.
**Why Choose Gameball?**
Seamless Integration: Easily integrate Gameball into your Zid store to create a loyalty program that aligns with your brand.
Tailored Rewards: Set up personalized reward rules based on customer behavior, such as",Gameball,malak.koshty@gameball.co,https://app.gameball.co/zid_auth,,5,0,7 Day Free Trial
FASTCOO,7,https://apps.zid.sa/en/application/7,https://media.zid.store/apps/2f4cd0d5-ae76-4a04-a67b-af3fbf9b3169.png,Saudi Arabia,Inventory management,Free,"FASTCOO Logistics Technology provides the necessary solutions for warehousing, preparation and delivery for logistic companies and various electronic platforms with a subscription
easy month


**Our Services:**

**-** Customs Clearance

**-** Orders Management

**-** 3PL Management

**-** Audit System

**-** Operations Filters

**-** Tickets System

**-** Line Haul

**-** AWS

**-** API

**-** Customization

**-** Unlimited VPS

**-** Proof on Delivery


**Our Feat",FASTCOO,cs@fastcoo.com,https://www.fastcoo.com/,,5,0,Free App
Qumra,830,https://apps.zid.sa/en/application/830,https://media.zid.store/apps/0be08692-cc6b-4d05-9e73-46d85b3b854b.png,Saudi Arabia,Analytics & Reporting,Free; Trial; Featured,"Detailed indicators of your store's performance from the first day it started!



 **Our Services:**


**-** Statistics and figures from the first day the store started 

**-**  Possibility to select any date or time period 

**-**  Total Orders

**-**  Total successful requests 

**-**  Net sales

**-**  Total Cash on Delivery Service Charge

**-**  Total Value Added Tax 

**-**  Best Cities by Number of Sales 

**-**  Detailed stats about vouchers (coupons) 

**-**  A ",Turki AlTwijri,me@turki.tw,https://qmr.app/,,5,10,3 Day Free Trial
OptimizeApp,2812,https://apps.zid.sa/en/application/2812,https://media.zid.store/apps/2177d36c-07cd-493c-9612-7ff956c9e7d8.png,Saudi Arabia,Marketing,Free; Trial; Featured; Embedded; 40% discount,"With OptimizeApp, you can run social media campaigns that show up to users who are most likely to purchase from your store.

 **Connect your Zid store & unlock advanced features**

**-**  **Launch Sales-focused campaigns**
Enable better tracking and revenue reporting for your sales campaigns with Snapchat pixel and CAPI (Conversion API).

**-** **AI audience targeting**.
Let AI do the heavy lifting by finding potential clients that are more likely to purchase from your store.

**-** **",OptimizeApp,support@optimizeapp.com,https://webiframe.optimizeapp.com/#/campaignlistiframe?lang=ar,,5,1,7 Day Free Trial
Salasa,3281,https://apps.zid.sa/en/application/3281,https://media.zid.store/apps/13021f74-131b-43ca-8d02-e7824a90490c.jpg,Saudi Arabia,Shipping & Fulfilment,Free; Featured,"Salasa provides e-commerce merchants with comprehensive logistics solutions, ensuring top-tier service standards for their customers. Our platform covers everything from stock management to order packing and shipping.",Salasa,help@salasa.co,https://salasa.co/,+966920029928,5,0,Free App
Google Analytics,16,https://apps.zid.sa/en/application/16,https://media.zid.store/apps/google_analytics_logo.png,Saudi Arabia,Analytics & Reporting,Free,"A service that helps you to know the number of visitors to your store in a specific period of time. It also helps you to know important information about your store visitors, such as age, gender, and devices used to enter the store, which helps you in improving and developing your business.



**Integration Steps**

Have a look at this guide from [**here**](https://help.zid.sa/googl-analytics-activation)",Zid App Market,appmarket@zid.sa,https://analytics.google.com,,4,34,Free App
Hotjar,17,https://apps.zid.sa/en/application/17,https://media.zid.store/apps/hotjar_logo.png,Saudi Arabia,Analytics & Reporting,Free,"This service enables you to understand how your customers behave with your site and products, unlike statistical services that only provide you with numbers, this service tells you exactly what the user is doing on your site


**Integration Steps**

Have a look at this guide from [**here**](https://help.zid.sa/en/hotjar)",Zid App Market,appmarket@zid.sa,https://hotjar.com,,4,14,Free App
Crazyegg,18,https://apps.zid.sa/en/application/18,https://media.zid.store/apps/crazyegg_logo.png,Saudi Arabia,Analytics & Reporting,Free,"This service records the entire visitor or customer session from the moment he enters your store until he leaves it, which helps you discover the shopping patterns of your customers


**Our services**

**-** **Snapshots**

The key to growing your ecommerce business is to understand the path to purchase.

**-** See attention hotspots on product pages with Heatmap

**-** Track ad campaign traffic on your site with Confetti

**-** Understand if shoppers are clicking where they should w",Zid App Market,appmarket@zid.sa,https://crazyegg.com/overview,,4,9,Free App
Landbot,19,https://apps.zid.sa/en/application/19,https://media.zid.store/apps/landbotio_logo.png,Saudi Arabia,Customer Support,Free,"Creating chat bots without any coding; Landbot helps you convert visitors on your online store to customers by using the conversation to interact with your visitors and answer their questions at any time, as there are many pre-built templates for many use cases.


**Our services**

Landbot is a fun, intuitive and powerful platform that empowers you to create any
chatbot you can imagine and deploy it anywhere

**1.** **Website Chatbot**

Engage your website visitors naturally — through ",Zid App Market,appmarket@zid.sa,https://landbot.io,,4,6,Free App
TIDIO,20,https://apps.zid.sa/en/application/20,https://media.zid.store/apps/tidio_logo.png,Saudi Arabia,Customer Support,Free,"Tidio provides a solution for live chat and chat bots, allowing business owners to communicate with their customers in real time. Tidio helps in increasing the number of leads and converting them into confirmed customers


**LIVE CHAT**

Thanks to the live chat software, business owners and customers can connect in real time. Tidio chat offers the fastest and easiest way to support your website visitors.

**-** Customize the live chat to match your brand

**-** Learn who browses your we",Zid App Market,support@tidio.net,https://tidio.com/,,4,6,Free App
Intercom,21,https://apps.zid.sa/en/application/21,https://media.zid.store/apps/intercom_logo.png,Saudi Arabia,Customer Support,Free,"A platform that makes it easy for those who use your store or website to communicate with them personally through live chat, through ready responses (chat bots), or targeting through appropriate content for the customer


**Integration Steps**

Have a look at this guide from [**here**](https://help.zid.sa/en/intercom)",Zid App Market,appmarket@zid.sa,https://intercom.com,,5,3,Free App
Crisp,22,https://apps.zid.sa/en/application/22,https://media.zid.store/apps/crisp_logo.png,Saudi Arabia,Customer Support,Free,"A platform that enables you to manage incoming messages from different channels in one platform, Crisp helps you to communicate with your customers effectively by means of various services.


**Our Services**

**-** **Live chat**

Engage your website visitors using Live Chat

**-** **Chatbot**

Build chatbots for automated conversations

**CRM**

Improve your leads and customers' knowledge

**-** **Shared Inbox**

Get more work done, together

**-** **Ticketing System**

O",Zid App Market,support@crisp.digital,https://crisp.chat,,4,2,Free App
LiveChat,23,https://apps.zid.sa/en/application/23,https://media.zid.store/apps/livechat_logo.png,Saudi Arabia,Customer Support,Free,"Control all your correspondence with your customers from one place, you can manage your WhatsApp, Messenger, email, text messages, and live chat messages on a single platform.

**Integration Steps**

Have a look at this guide from [**here**](https://help.zid.sa/en/livechat)",Zid App Market,appmarket@zid.sa,https://livechat.com,,5,8,Free App
ChatBot,24,https://apps.zid.sa/en/application/24,https://media.zid.store/apps/chatbot_logo.png,Saudi Arabia,Customer Support,Free,"ChatBot provides a versatile platform for creating ready-made conversations and responses, and an unlimited number of different templates that will help you build a smart chat bot within minutes.


**Integration Steps**

Have a look at this guide from [**here**](https://help.zid.sa/en/chatbot)",Zid App Market,appmarket@zid.sa,https://chatbot.com,,5,2,Free App
Zendesk,26,https://apps.zid.sa/en/application/26,https://media.zid.store/apps/zendesk_logo.png,Saudi Arabia,Customer Support,Free,"Offer your customers the best technical support experience ever through an integrated support and assistance center and customer management solutions, such as instant chat systems, ticketing system and more.


**Integration Steps**

To know how to activate, click [**here**](https://help.zid.sa/en/zendesk)",Zid App Market,appmarket@zid.sa,https://zendesk.com,,5,3,Free App
Tawk.to,27,https://apps.zid.sa/en/application/27,https://media.zid.store/apps/tawkto_logo.png,Saudi Arabia,Customer Support,Free,"Monitor and chat with the visitors on your website, respond to support tickets and create a help center to empower customers to help themselves – all 100% Free

**Our services**

**-** Live Chat

**-** Ticketing

**-** Knowledge Base

**-** Chat Pages

**-** Team Chat

**Integration Steps**

Have a look at this guide from [**here**](https://help.zid.sa/en/tawk.to)",Zid App Market,appmarket@zid.sa,https://tawk.to,,4,4,Free App
Google Tag Manager,28,https://apps.zid.sa/en/application/28,https://media.zid.store/apps/google_tag_manager_logo.png,Saudi Arabia,Campaign tracking,Free,"It is an application that allows you to add code to your store without manual modifications. All you need to do is add the code through the Google Tag Manager interface, and then you can manage, add, or modify it directly from within Google Tag Manager

### Services provided ### 

**-** Ability to track customer behavior on the store and know how many users clicked on a specific link, for example.
**-** Ability to add code to display an icon (such as a WhatsApp button) on the store interfac",Zid App Market,appmarket@zid.sa,https://tagmanager.google.com,,4,19,Free App
Meta pixel,29,https://apps.zid.sa/en/application/29,https://media.zid.store/apps/b2759815-577d-45aa-9813-43f38884763a.jpg,Saudi Arabia,Campaign tracking,Free,"An analytics service that allows you to measure the effectiveness of your campaign, track conversion rate, and measure return on ad spend by tracking actions people take after viewing or interacting with your ads.

Integration Steps

To know how to activate the Facebook Pixel in your store click [here](https://help.zid.sa/facebook-pixel)",Zid App Market,appmarket@zid.sa,https://www.facebook.com/business/learn/facebook-ads-pixel,,4,3,Free App
Smartarget,31,https://apps.zid.sa/en/application/31,https://media.zid.store/apps/smartarget_logo.png,Saudi Arabia,Marketing,Free; Featured,"Increase engagement, get more sales. With Smartarget apps - your business grows.Free installation. Great support.

**Integration Steps**

Have a look at this guide from [**here**](https://help.zid.sa/smarttarget/)",Zid App Market,support@smartarget.online,https://smartarget.online,,4,17,Free App
Tapfiliate,45,https://apps.zid.sa/en/application/45,https://media.zid.store/apps/dea562b8-84f7-4ce6-a90a-d4f66b2b0d0e.png,Saudi Arabia,Marketing,Free,"Easily create, track and grow your own affiliate marketing programs. Affiliate tracking software for E-Commerce and SaaS that integrates seamlessly with your site in just minutes. Begin affiliate marketing to reward loyal brand ambassadors and boost sales. Learn more about our features here.


**-** Create personal referral links 
 
 **-**  Manage banners and other brand content

 **-** Create Shareable Social Media Posts with Affiliates 

 **-** Giving marketers a dashboard that carrie",Zid App Market,appmarket@zid.sa,https://tapfiliate.com/,,5,4,Free App
Scribes,114,https://apps.zid.sa/en/application/114,https://media.zid.store/apps/0a72f315-acda-4884-a701-03e16d65cb36.png,Saudi Arabia,Operations,Free,"SCRIBES ERP is scalable system with ease of use and maximum data protection and user security to keep the data fully secure and safe. also, it's a cloud based system so that you can access it anywhere in the world. It also enables department managers to obtain data, reports, queries, future plans and estimated budgets, and degrees of deviation from actual performance from expectations, to address the causes and improve the way they work.


**Integration Steps**

**1.** Request the service f",Arabsea,Mamdoh@arabsea.com,https://arabsea.com/en/scribes-system,,5,0,Free App
Trengo,118,https://apps.zid.sa/en/application/118,https://media.zid.store/apps/429a8595-e4e2-4a58-a469-a1953ea12574.jpg,Saudi Arabia,Customer Support,Free,"By using Tringo, you ensure that there is no delay in responding to any of the messages sent to you in all of your communication channels. You can also add multiple users and teams to handle all incoming messages and manage chat internally by tagging to share feedback and comments between team members.



**Live chat in your store**

Add live chat for customers on your store



**Live chat between employees**

This feature allows employees to communicate directly with each other via ",Zid App Market,support@trengo.com,https://trengo.com/en,,5,1,Free App
Almoutasoq,121,https://apps.zid.sa/en/application/121,https://media.zid.store/apps/c1d7d40c-0a2d-4cdd-9a95-58ac6741cb61.png,Saudi Arabia,Marketing,Free,"Almoutasoq  app aggregates for users discount coupons and offers for stores and apps. Almoutasoq  has more than 1.3 million active users We help merchants increase sales for a commission per order


**Our Features**

**-** +1,300,000 active users of the app

**-** +100 Brand Success Partner

**-** Risk Ratio 0% (Pay for each confirmed order)



**Integration Steps**


**-** Request the service from this link [**Click here**](https://motsuq.com/Zid)

**-** Almoutasoq team will c",Almoutasoq,Abdulaziz@Almotasuq.com,https://almotasuq.app,,5,0,Free App
10x,149,https://apps.zid.sa/en/application/149,https://media.zid.store/apps/9db7e291-804c-4182-b598-736b76c0fbdb.jpg,Saudi Arabia,Marketing,Free,"A Saudi products company specializing in e-commerce, we acquire and develop high quality branded products.


**Our Features**

**-** **We help you grow with your innovations:**

People are divided into two groups: creators and implementers of innovations. Innovate and let the implementation work on us!

**-** **Increase your store's reach:**

Sometimes the product is amazing, but it has not reached people with the same ambition as you. Let's deliver it!

**-** **Let's focus on oppor",10x,Info@10x.sa,https://10x.sa,,5,0,Free App
Google Merchant Center,158,https://apps.zid.sa/en/application/158,https://media.zid.store/apps/a9006460-4882-44ea-8f29-3e65da4ca683.png,Saudi Arabia,Marketing,Free,"Google Merchant Center helps you get your store and product info into Google and make it available to shoppers across Google. That means everything about your stores and products is available to customers when they search on a Google property.



**Integration Steps**

Have a look at this guide from [**here**](https://help.zid.sa/google-merchant-center)",Zid,Support@zid.sa,https://www.google.com/retail/solutions/merchant-center/,,5,0,Free App
Tamara,227,https://apps.zid.sa/en/application/227,https://media.zid.store/apps/93c34458-9594-4c1d-a925-beafa4ce1b99.jpg,Saudi Arabia,Payments,Free,"<script>
	window.location.replace(""https://web.zid.sa/market/integrations/tamara"")
</script>


Tamara is a leading payment provider dedicated to delivering a seamless payment experience for both merchants and customers. We offer a range of payment solutions designed to enhance convenience, including the ability to split payments or pay in full

**How To:**
Register on tamara's website [here](https://business.tamara.co/signup?locale=en_US)
Submit the necessary registration documents
Ent",Zid,appmarket@zid.sa,https://tamara.co/,,5,0,Free App
Abkhas,231,https://apps.zid.sa/en/application/231,https://media.zid.store/apps/2e782b13-2e50-43f9-bf26-71bd00ec812a.png,Saudi Arabia,Marketing,Paid,"Abkhus provides customer loyalty solutions for your store to retain your customers with increase their lifetime value. Abkhas provides loyalty points that help your customers pay government bills such as electricity, traffic tickets, and telecom bills. Abkhus provides marketing solutions to monitor the behavior of your customers and analyzw on the best-selling products in your store.
 
When you subscribe to Abkhus, you will get premium features on our platform to reach more users through our a",Abkhus,info@abkhus.com,https://abkhus.com,,5,0,From SAR 115.00 / 1 Month
Apps Bunches,421,https://apps.zid.sa/en/application/421,https://media.zid.store/apps/1b4db514-c7e6-4c0c-b79f-63a1e9c9522d.png,Saudi Arabia,Mobile Apps,Paid; Embedded; 30% discount,"Apps Bunches  | Your ###1 Technical Partner

Why has the app become a real growth engine?
Because the numbers prove the difference isn’t just UI… the app changes the game.

(Analytics results from stores using Apps Bunches app)

**• Revenue per user:** from about 2 SAR on web to about 49 SAR in the app (+23x).

**• Time spent:** from seconds to about 10 minutes in the app (+25x).

**• Pages per session:** from about 2 to +59 pages in the app (+23x).

**• Repeat purchase:** from less",Apps Bunches,Apps@AppsBunches.com,https://build.appsbunches.com/,,5,55,"From SAR 3,300.01 / Annually"
Rewaa,435,https://apps.zid.sa/en/application/435,https://media.zid.store/apps/8048e134-bb77-455e-b859-efdb52632086.png,Saudi Arabia,Inventory management,Free,"A sales and inventory management system for shop owners, and enables the merchant to receive, manage and certify e-store orders from the branch. The system is automatically updated with sales and inventory in all sales outlets (whether the branch or the online store)


**Our Services**


**1.** **Product Management**

 Rewaa platform manages all the products of the stores created by Zid by enabling the publication of products in the online store and controlling their details.

**2.** *",Rewaa company,Info@rewaatech.com,https://www.rewaatech.com,,5,3,Free App
socialbot,439,https://apps.zid.sa/en/application/439,https://media.zid.store/apps/1b9a5de5-7fd0-4768-a779-30d3db2e02e0.png,Saudi Arabia,Customer Support,Free; Trial,"social media bot platform allow you to integrate alll social media channels and WhatsApp in 1 platform you can add multiple users and you can full reports about agents performance and inbox reports 

**Our Services**

**-** Detailed Reports

**-** Customer Service Rating

**-** quick replies

**-** Conversational Badges

**-** Out-of-hours responses

**-** Customer Service Departments (Teams)

**-** Arabic language platform

**-** Link confirmation messages for payment upon rec",socialbot,info@social-bot.io,https://social-bot.io/,,5,6,7 Day Free Trial
Tabby,513,https://apps.zid.sa/en/application/513,https://media.zid.store/apps/be319218-99ec-4bd9-a3e6-28f2ade8c274.jpg,Saudi Arabia,Payments,Free,"<script>
	window.location.replace(""https://web.zid.sa/market/integrations/tabby"")
</script>

Tabby enables your customers to shop now and divide the value of their purchases into 4 monthly payments without interest. Tabby pays you directly for the purchases paid through Tabby, stimulate sales in your store, purchase completion rates and grow your store customer base

**Payment services:**

Divide it by 4: Enable your customers to shop today and divide the value of their purchases into 4 ",dddd,Partner@tabby.ai,https://tabby.ai,,5,0,Free App
m5azn,520,https://apps.zid.sa/en/application/520,https://media.zid.store/apps/81659083-bd1f-4620-97a8-cd912019324d.png,Saudi Arabia,Finding Products,Paid,"M5AZN is electronic storage to start your online business (B2B) easily with zero cost. All you need for e-business, M5AZN will supports and assists your online store. We offer your products, storage, packaging, and shipping for organizations and companies.


**Our Features**

**-** **Without capital**

In stores, you do not need capital to start your electronic project

**-** **Automatic integration**

Linking products, uploading their pictures to the merchant's store, receiving order",M5AZN,mzahid@m5azn.com,https://m5azn.com,,4,31,From SAR 40.00 / 1 Month
متصل بوت للواتس اب,603,https://apps.zid.sa/en/application/603,https://media.zid.store/apps/d390b86e-c1a9-476e-b2b2-8ce1f17579b6.png,Saudi Arabia,Customer Support,Free; Trial,"Mottasl uses WhatsApp to simplify customer communication with brands. Client feedback can now be collected by businesses' support agents, teams, or AI-powered bots. Businesses can integrate their CRM systems, gather customer interest, and send marketing broadcasts to with a unified  WhatsApp number.

**Our Services**

**1-** **Targeting Abandoned Cart via WhatsApp**

Increase your sales by targeting abandoned Carts automatically via Zid. Target unlimited number of customers who haven’t com",Twerlo,zid@twerlo.com,https://mottasl.com/arabic/mottasl-zid-registration/,,4,4,5 Day Free Trial
Morasalaty Whatsapp,645,https://apps.zid.sa/en/application/645,https://media.zid.store/apps/7eccf37b-ee8a-4faa-a515-48f9af3156db.jpg,Saudi Arabia,Customer Support,Free; Trial; Embedded; 30% discount,"**Our Mission**
We believe in the importance of interactive communication with customers. From the simplest to the most profound. Building your own chatbot will enable you to reach your customers, generate more revenue, save time and staff through **Maraslaty** platform, interact directly with them, and expand your business.  

**Platform Services**

**- **Smart Chatbot Tree**  
: Introducing the customer to the business or products through easy interactive menus (unlimited menus)  

**-",Morasalaty Platform,support@morasalaty.com,https://morasalaty.com/ar/zid,,5,1,10 Day Free Trial
Karzoun,655,https://apps.zid.sa/en/application/655,https://media.zid.store/apps/e8346f3e-da20-47a1-9c0b-c4eb046bfa68.png,Saudi Arabia,Customer Support,Free; Trial; 20% discount,"**Karzoun Application: Revolutionizing WhatsApp Business Tools**

Karzoun, one of the most renowned applications specialized in WhatsApp tools, is known for its extensive popularity. The Karzoun application offers a comprehensive package of essential features related to organization, cost-efficiency, automation, and enhancing the quality of e-commerce operations on the Zad platform through the use of WhatsApp.

**Key Features of Karzoun Application:**

**-** Target abandoned shopping carts",Karzoun Media Marketing And Digital Services LLC,mkarzoun@karzoun.com,https://karzoun.app/login,,5,5,3 Day Free Trial
