name,slug,url,logo_url,countries,categories,tags,description
Essaly,essaly,https://www.foodics.com/portfolio/essaly/,https://www.foodics.com/wp-content/uploads/2023/01/essaly-foodics-marketplace-logo-300x300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Digital Receipts,,More sustainable world
Chefadmin,chefadmin,https://www.foodics.com/portfolio/chefadmin/,https://www.foodics.com/wp-content/uploads/2025/05/Chefadmin-Thumbnail-300x300.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Inventory Management,,Digitizing F&B operations for greater profitability
Holouly,holouly,https://www.foodics.com/portfolio/holouly/,https://www.foodics.com/wp-content/uploads/2025/06/Screenshot-2024-12-22-172032-300x140.jpeg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Delivery Management,,All-in-One Solution for Smarter Restaurant Delivery Management
Deliverect,deliverect,https://www.foodics.com/portfolio/deliverect/,https://www.foodics.com/wp-content/uploads/2021/01/Deliverect-foodics-marketplace-logo.webp,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Ordering Platforms Management,,Omni-channel restaurant & Delivery management
Unipal,unipal,https://www.foodics.com/portfolio/unipal/,https://www.foodics.com/wp-content/uploads/2023/04/unipal-logo-300x300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Loyalty,,The Biggest Student Benefits App!
Menuhat,menuhat,https://www.foodics.com/portfolio/menuhat/,https://www.foodics.com/wp-content/uploads/2023/10/menuhatlogo300x300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Digital Menu,,Enhance experience with online menu and ordering.
Careem,careem,https://www.foodics.com/portfolio/careem/,https://www.foodics.com/wp-content/uploads/2023/11/LOGO-Careem-300x136.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Food Aggregator,,Careem’s purpose is to simplify and improve the lives of people and build an awesome organization that inspires.
TAKER,taker,https://www.foodics.com/portfolio/taker/,https://www.foodics.com/wp-content/uploads/2021/01/taker-foodics-marketplace-logo.webp,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Online Ordering,,Advanced online ordering system for your restaurant
WATEER,wateer,https://www.foodics.com/portfolio/wateer/,https://www.foodics.com/wp-content/uploads/2026/02/Wateercoloredwithouttext-300x202.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Digital Receipts,,Turn receipts into a marketing channel
Mrsool,mrsool,https://www.foodics.com/portfolio/mrsool/,https://www.foodics.com/wp-content/uploads/2021/01/mrsool-foodics-marketplace-logo.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Food Aggregator,,The B2B service of Mrsool integrated with your POS
Ishbek,ishbek,https://www.foodics.com/portfolio/ishbek/,https://www.foodics.com/wp-content/uploads/2025/01/ishbek-logo-300x300.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Ordering Platforms Management,,All-in-One POS and Food Delivery Integration Platform Unveiled!
Tapback,tapback,https://www.foodics.com/portfolio/tapback/,https://www.foodics.com/wp-content/uploads/2026/02/logo.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Digital Menu; Table Payments,,Simplifying dining experiences for guests and restaurants.
Locate,locate,https://www.foodics.com/portfolio/locate/,https://www.foodics.com/wp-content/uploads/2023/01/Locate-foodics-marketplace-logo-300x300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Food Aggregator,,Download the app and enjoy the offers
Nitx,nitx,https://www.foodics.com/portfolio/nitx/,https://www.foodics.com/wp-content/uploads/2024/09/logo_color-1.svg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Digital Signage,,"Digital signage solution, control your screens from anywhere"
Resal,resal,https://www.foodics.com/portfolio/resal/,https://www.foodics.com/wp-content/uploads/2022/01/resal-foodics-marketplace-logo.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Loyalty,,"Interactive loyalty program with points, stamps, and more"
SHDH,shdh,https://www.foodics.com/portfolio/shdh/,https://www.foodics.com/wp-content/uploads/2025/07/0QMzTqcIv0zVDbnMEAUiDqnnHmK4BI3EPvhf-300x205.jpeg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Delivery Management,,"Fast, reliable, innovative logistics delivery solutions"
EasyMenu,easymenu,https://www.foodics.com/portfolio/easymenu/,https://www.foodics.com/wp-content/uploads/2021/11/easy-menu-foodics-marketplace-logo-300x300.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Digital Menu,,Menu-Building and Online Ordering Services
Qayimat altalabat,qayimat-altalabat,https://www.foodics.com/portfolio/qayimat-altalabat/,https://www.foodics.com/wp-content/uploads/2024/03/fa0858e6-f720-4d4a-b979-26e7ea2cb95f-300x300.jpeg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Digital Menu,,Qayimat Altalabat… Unique Experience of the Digital Menu
Fooder,fooder,https://www.foodics.com/portfolio/fooder/,https://www.foodics.com/wp-content/uploads/2022/09/Group-40932-300x300.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Online Ordering,,Get 0% commission on online orders for your restaurant with WhatsApp
Armada Delivery Solutions,armada-delivery-solutions,https://www.foodics.com/portfolio/armada-delivery-solutions/,https://www.foodics.com/wp-content/uploads/2024/07/aramada-logo-foodics-300x300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Delivery Management,,"Drivers, On-Demand! – Delivery solutions that help you focus on growing your business."
Urban Piper,urban-piper,https://www.foodics.com/portfolio/urban-piper/,https://www.foodics.com/wp-content/uploads/2022/07/urban-piper-foodics-marketplace-logo-300x300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Ordering Platforms Management,,Manage Online Sales Channels from Your POS
BrandWallet,brandwallet,https://www.foodics.com/portfolio/brandwallet/,https://www.foodics.com/wp-content/uploads/2021/10/Brand-wallet-foodics-marketplace-logo.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Loyalty,,"Mobile Wallet Digital loyalty platform with stamps, points and more"
Payce,payce,https://www.foodics.com/portfolio/payce/,https://www.foodics.com/wp-content/uploads/2026/01/payce_300x300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Table Payments,,"Scan, Order, Split — Pay Effortlessly"
Ordable,ordable,https://www.foodics.com/portfolio/ordable/,https://www.foodics.com/wp-content/uploads/2022/09/ordable-foodics-marketplace-logo-300x300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Online Ordering,,Create your own online store
Waffarha,waffarha,https://www.foodics.com/portfolio/waffarha/,https://www.foodics.com/wp-content/uploads/2024/09/waffarha-Logo.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Loyalty,,Egypt’s 1st savings mobile app
Eat app,eat-app,https://www.foodics.com/portfolio/eat-app/,https://www.foodics.com/wp-content/uploads/2023/04/eat-app-logo-300x300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Table Reservation,,Reservation and Guest Experience Platform
Grubtech,grubtech,https://www.foodics.com/portfolio/grubtech/,https://www.foodics.com/wp-content/uploads/2023/09/300-x-300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Ordering Platforms Management,,"All-in-one order, kitchen & delivery solution."
Keeta,keeta,https://www.foodics.com/portfolio/keeta/,https://www.foodics.com/wp-content/uploads/2025/11/1761881429616-scaled-e1764154907150-300x203.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Food Aggregator,,"Eat better, live better"
VastMenu,vastmenu,https://www.foodics.com/portfolio/vastmenu/,https://www.foodics.com/wp-content/uploads/2025/04/IMG_8668.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Digital Menu,,The best self-service solution for dine-in ordering & payment
Noon Food,noon-food,https://www.foodics.com/portfolio/noon-food/,https://www.foodics.com/wp-content/uploads/2024/03/Copy-of-Noonfood-logo-02-300x212.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Food Aggregator,,The Middle East’s Local Food Delivery Platform
SAP BEON-IT,sap-beon-it,https://www.foodics.com/portfolio/sap-beon-it/,https://www.foodics.com/wp-content/uploads/2023/11/beonit-300x300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,ERP,,Unlock the power of SAP-Foodics integration for streamlined efficiency.
QuickBooks Online,quickbooks-online,https://www.foodics.com/portfolio/quickbooks-online/,https://www.foodics.com/wp-content/uploads/2021/01/quick-books-online-foodics-marketplace-logo.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Accounting,,Global cloud accounting program for all sectors
Xero,xero,https://www.foodics.com/portfolio/xero/,https://www.foodics.com/wp-content/uploads/2020/10/xero-foodics-marketplace-logo-new-1.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Accounting,,Cloud-based accounting software service
Beanz,beanz,https://www.foodics.com/portfolio/beanz/,https://www.foodics.com/wp-content/uploads/2025/02/BEANZ-logo-Your-Specialty-Coffee-App.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Food Aggregator,,Specialty coffee app for cafes
The Chefz,the-chefz,https://www.foodics.com/portfolio/the-chefz/,https://www.foodics.com/wp-content/uploads/2022/07/the-chefz-foodics-marketplace-logo.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Food Aggregator,,Connecting the Best Restaurants with their Best Customers.
Nugttah,nugttah,https://www.foodics.com/portfolio/nugttah/,https://www.foodics.com/wp-content/uploads/2021/01/Blue-Background-02-300x300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Food Aggregator; Loyalty,,"CRM: loyalty, online orders, reports and more"
LeapAI,leapai,https://www.foodics.com/portfolio/leapai/,https://www.foodics.com/wp-content/uploads/2026/02/Asset-1@3x.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Digital Receipts,,"WhatsApp Invoices, Loyalty & Surveys"
Enabill,enabill,https://www.foodics.com/portfolio/enabill/,https://www.foodics.com/wp-content/uploads/2023/10/enabil-logo.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Online Ordering,,Give your guests the fastest way to pay with a single tap.
Qaema,qaema,https://www.foodics.com/portfolio/qaema/,https://www.foodics.com/wp-content/uploads/2024/08/App-Logo.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Accounting,,Effortless Accounting and Financial Management
Roboost,roboost,https://www.foodics.com/portfolio/roboost/,https://www.foodics.com/wp-content/uploads/2025/07/Roboost-JPG-Logo-Square-300X300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Delivery Management,,Automating Home Delivery Operations
V-Thru,v-thru,https://www.foodics.com/portfolio/v-thru/,https://www.foodics.com/wp-content/uploads/2024/09/V-Thru-Logo-300x300.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Food Aggregator,,Swift curbside food ordering made easy.
Zyda,zyda,https://www.foodics.com/portfolio/zyda/,https://www.foodics.com/wp-content/uploads/2022/02/zyda-foodics-marketplace-logo-300x300.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Online Ordering,,Zyda powers the restaurants’ direct online ordering experience.
Kasb,kasb,https://www.foodics.com/portfolio/kasb/,https://www.foodics.com/wp-content/uploads/2021/01/Kasb-foodics-marketplace-logo-300x293.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,ERP,,Transform Your Business with Kasb ERP
Alshrouq Express,alshrouq-express,https://www.foodics.com/portfolio/alshrouq-express/,https://www.foodics.com/wp-content/uploads/2025/09/Shrouq-logo-300x300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Delivery Management,,"AlShrouq Express for Faster, More Accurate Efficient delivery Solutions."
Fleetrun,fleetrun,https://www.foodics.com/portfolio/fleetrun/,https://www.foodics.com/wp-content/uploads/2026/01/logo-no-background-300x62.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Delivery Management,,Your instant in-city delivery app
Sanad,sanad,https://www.foodics.com/portfolio/sanad/,https://www.foodics.com/wp-content/uploads/2022/07/sanad-new-logo-300x300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Accounting,,Innovative smart accountant to save costs and time
Mnasati,mnasati,https://www.foodics.com/portfolio/mnasati/,https://www.foodics.com/wp-content/uploads/2022/12/mnasati-foodics-marketplace-logo-300x300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Online Ordering,,E-Commerce Services
Order,order,https://www.foodics.com/portfolio/order/,https://www.foodics.com/wp-content/uploads/2021/01/Order-foodics-marketplace-logo.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Online Ordering,,Your Own Website And App To Receive Orders
Mazeed,mazeed,https://www.foodics.com/portfolio/mazeed/,https://www.foodics.com/wp-content/uploads/2023/01/mazeed-Logo.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Accounting,,Financial Management Platform
Loop By District,loop-by-district,https://www.foodics.com/portfolio/loop-by-district/,https://www.foodics.com/wp-content/uploads/2026/01/image-11-300x300.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Table Payments,,Seamless table payments for restaurant guests
Qlub,qlub,https://www.foodics.com/portfolio/qlub/,https://www.foodics.com/wp-content/uploads/2025/02/Untitled-design.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Table Payments,,The fastest payment solution for Restaurants and Cafes
Zeal,zeal,https://www.foodics.com/portfolio/zeal/,https://www.foodics.com/wp-content/uploads/2025/09/Artboard-1-100.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Online Ordering,,Identify customers and grow loyalty at checkout
iisal,iisal,https://www.foodics.com/portfolio/iisal/,https://www.foodics.com/wp-content/uploads/2021/11/iisal-foodics-marketplace-logo.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Digital Receipts,,"Electronic invoice, Zakat compliance, loyalty program & Ads"
PlusTech-API,plustech-it,https://www.foodics.com/portfolio/plustech-it/,https://www.foodics.com/wp-content/uploads/2023/11/Plustech-logo-300x300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,ERP,,Integrating Odoo with Foodics Seamlessly
Qoodz,qoodz,https://www.foodics.com/portfolio/qoodz/,https://www.foodics.com/wp-content/uploads/2025/04/Qoodz-logo-300x300.webp,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Loyalty,,Unlock the Full Potential of Your Business with Qoodz
Koinz,koinz,https://www.foodics.com/portfolio/koinz/,https://www.foodics.com/wp-content/uploads/2021/01/koinz-foodics-marketplace-logo.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Food Aggregator; Loyalty,,New generation of customer engagement
Leajlak,leajlak,https://www.foodics.com/portfolio/leajlak/,https://www.foodics.com/wp-content/uploads/2022/12/Leajlak-Logo-300x300.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Delivery Management,,Best Logistic Services for Food Delivery
Dyne,dyne,https://www.foodics.com/portfolio/dyne/,https://www.foodics.com/wp-content/uploads/2025/04/RGB_Logo-Design-Dyne-V0011-01-1-300x300.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Online Ordering; Table Payments,,Your All-in-One App for Online Ordering & Table Payment
UPP,upp,https://www.foodics.com/portfolio/upp/,https://www.foodics.com/wp-content/uploads/2022/05/upp-foodics-marketplace-logo.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Loyalty,,All you need to start your own reward program
SDC App,sdc-app,https://www.foodics.com/portfolio/sdc-app/,https://www.foodics.com/wp-content/uploads/2023/10/SDC-App_Logo_Blue-300x300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Loyalty,,Shop and Save at more than 1000 brands
Mottasl,mottasl,https://www.foodics.com/portfolio/mottasl/,https://www.foodics.com/wp-content/uploads/2023/11/mottsl-BG-300px.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Chat Bot,,Mottasl is the unified platform designed to sustain and strengthen your customer relationships well into the future.
Stocktake Online,stocktake-online,https://www.foodics.com/portfolio/stocktake-online/,https://www.foodics.com/wp-content/uploads/2025/09/Sto-Logo.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Inventory Management,,Smart restaurant stock control & inventory solution
FeedUs,feedus,https://www.foodics.com/portfolio/feedus/,https://www.foodics.com/wp-content/uploads/2022/09/feedus-foodics-marketplace-logo-300x300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Ordering Platforms Management,,Manage all your online orders from one place.
Weevi,weevi,https://www.foodics.com/portfolio/weevi/,https://www.foodics.com/wp-content/uploads/2025/11/300x300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Online Ordering,,Online ordering with built-in growth tools
FoodiZone,foodizone,https://www.foodics.com/portfolio/foodizone/,https://www.foodics.com/wp-content/uploads/2025/08/foodizone.png,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Ordering Platforms Management,,"All Your Delivery Orders, One Powerful Platform"
ShopBrain,shopbrain-2,https://www.foodics.com/portfolio/shopbrain-2/,https://www.foodics.com/wp-content/uploads/2021/01/Shopbrain-Logo-300-x-300-px-1.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Inventory Management,,First AI-embedded inventory management platform for optimizing restaurant’s back of house operations.
PowerERP,powererp,https://www.foodics.com/portfolio/powererp/,https://www.foodics.com/wp-content/uploads/2023/04/0a3758d9-f3d8-4613-8d51-bf352d79f731-1-300x300.jpeg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,ERP,,A comprehensive cloud-based ERP system to fully operate and manage your business.
InvoiceQ,invoiceq,https://www.foodics.com/portfolio/invoiceq/,https://www.foodics.com/wp-content/uploads/2025/05/300-300.jpg,Saudi Arabia; United Arab Emirates; Egypt; Kuwait; Jordan,Digital Receipts,,Effortlessly handle tax-compliant invoices in one platform.
