name,slug,url,logo_url,countries,categories,tags,description,location,fees,industry,website,detail_description,name_ar,description_ar
Fruits360,fruits360,https://marn.com/en/fruits360/,https://marn.com/wp-content/uploads/Logo.svg,Saudi Arabia,,,ِA restaurant data & analytics software that connects to your POS,Global,Book a demo,Data & analytics SaaS software,https://dashboard.fruits360.io/sign-up?lang=en&_gl=1*r98z8q*_ga*MTczNTc0NDg5OC4xNjE5MzQ0NzAx*_ga_YPSKBMC6R8*MTcxMzM1NzY2My4yOC4xLjE3MTMzNjEzMjguMC4wLjA,"With Fruits360, we transform your point-of-sale data into smart insights that enhance your restaurant’s performance and increase your sales in innovative ways using AI models.
‍
Get your free trial
‍",,
FlowERP,flowerp,https://marn.com/en/flowerp/,https://marn.com/wp-content/uploads/FLOWERP-1.png.webp,Saudi Arabia,,,We Partner and work with Top Companies and startups to deliver the most meaningful and rewarding value to our merchants.,World,Book A Demo,ERP system,https://flowerp.one,"FlowERP Solutions offers an integrated platform to streamline business operations and enhance productivity across various industries. Combining essential functions such as finance, inventory, project management, and customer relationship management into one user-friendly system.",FlowERP,رؤى فورية حول وضعك المالي، تحكم كامل في شؤونك المالية
Qeama,qaema,https://marn.com/en/qaema/,https://marn.com/wp-content/uploads/Qaema.png,Saudi Arabia,,,Qaema offers you the best approach to financial and accounting management.,Saudi Arabia,Contact Us,Accounting and Financial Management,https://www.qaema.com/ar,"With a Qaema and flexible set of accounting services tailored to your business and designed to meet your needs.
‍
Develop your business with Qaema, contact us now.
‍",قائمة | Qaema,مع قائمة خدمات محاسبية متكاملة ومرنة تتناسب مع نشاطك وتلبي احتياجك
Supy,hala-2,https://marn.com/en/hala-2/,https://marn.com/wp-content/uploads/Hala-Logo-1.webp,Saudi Arabia,,,An all-in-one platform that helps small and medium businesses manage revenues and payments with ease,Riyadh,Book a demo,Payment Management,https://hala.com/,"Hala is an all-in-one platform that helps small and medium businesses manage revenues and payments with ease.
It streamlines collections and payments securely and flexibly, improving cash flow and making your operations more efficient.
‍
‍",هلا,منصة لإدارة الإيرادات والمدفوعات للمنشآت الصغيرة والمتوسطة بطريقة سهلة وآمنة
HungerStation,hungerstation,,https://marn.com/wp-content/uploads/2020/12/HungerStation-min.png.webp,Saudi Arabia,,hero-banner-only,,,,,,,,
Talabat,talabat,,https://marn.com/wp-content/uploads/2020/12/Talabat-min.png.webp,Saudi Arabia,,hero-banner-only,,,,,,,,
Jahez,jahez,,https://marn.com/wp-content/uploads/2020/12/Jahez-min.png.webp,Saudi Arabia,,hero-banner-only,,,,,,,,
Deliveroo,deliveroo,,https://marn.com/wp-content/uploads/2020/12/Deliveroo-min.png.webp,Saudi Arabia,,hero-banner-only,,,,,,,,
Careem NOW,careem-now,,https://marn.com/wp-content/uploads/2020/12/Careem-Now-min.png.webp,Saudi Arabia,,hero-banner-only,,,,,,,,
Zomato,zomato,,https://marn.com/wp-content/uploads/2020/12/Zomato-min.png.webp,Saudi Arabia,,hero-banner-only,,,,,,,,
QB,qb,,https://marn.com/wp-content/uploads/2020/12/QB-min.png.webp,Saudi Arabia,,hero-banner-only,,,,,,,,
